numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
2208,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
2209,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
2210,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
2211,PRZESTRONNE Mieszkanie !! IDEALNE dla rodziny M3 ! Rzeszów Drabinianka,536 119 zł,Rzeszów - Odświeżono Dzisiaj O 09:34,Brak danych,"55,27 m² - 9700 zł/m²",Brak danych,Brak danych
2212,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
2213,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
2214,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
2215,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
2216,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
2217,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
2218,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
2219,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
2220,Nowe mieszkanie w stanie deweloperskim ul. Robotnicza - od ręki!,337 000 zł,Brak danych,Brak danych,"39,08 m² - 8623.34 zł/m²",Brak danych,Brak danych
2221,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
2222,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2223,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
2224,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
2225,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
2226,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
2227,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2228,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2229,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2230,⭐Odbierz duży Rabat- 2 pokoje + Hala Garażowa⭐ Umów się na dni Otwarte,618 900 zł,Warszawa - Dzisiaj O 14:14,Brak danych,"41,15 m² - 15040.1 zł/m²",2 pokoje,Brak danych
2231,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
2232,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2233,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2234,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2235,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2236,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2237,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2238,M3 Mieszkanie 2 pokoje Sierakowskiego po remoncie Łódź,359 000 zł,Łódź,Brak danych,"38,30 m² - 9373.37 zł/m²",2 pokoje,Brak danych
2239,Słoneczne jasne mieszkanie na Przytorzu,300 000 złdo negocjacji,Brak danych,Brak danych,"52,74 m² - 5688.28 zł/m²",Brak danych,Brak danych
2240,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2241,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
2242,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
2243,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
2244,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
2245,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
2246,PRZESTRONNE Mieszkanie !! IDEALNE dla rodziny M3 ! Rzeszów Drabinianka,536 119 zł,Rzeszów - Odświeżono Dzisiaj O 09:34,Brak danych,"55,27 m² - 9700 zł/m²",Brak danych,Brak danych
2247,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
2248,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
2249,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
2250,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
2251,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
2252,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
2253,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
2254,Nowe mieszkanie w stanie deweloperskim ul. Robotnicza - od ręki!,337 000 zł,Brak danych,Brak danych,"39,08 m² - 8623.34 zł/m²",Brak danych,Brak danych
2255,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
2256,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2257,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
2258,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
2259,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
2260,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
2261,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2262,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2263,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2264,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2265,⭐Odbierz duży Rabat- 2 pokoje + Hala Garażowa⭐ Umów się na dni Otwarte,618 900 zł,Warszawa - Dzisiaj O 14:14,Brak danych,"41,15 m² - 15040.1 zł/m²",2 pokoje,Brak danych
2266,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
2267,Mieszkanie Opole ZWM 51M2 2 Pokoje Balkon Winda dla niepełnosprawnych,499 000 złdo negocjacji,Opole - Odświeżono Dnia 16 Lipca 2025,Brak danych,50 m² - 9980 zł/m²,2 pokoje,Brak danych
2268,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2269,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2270,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2271,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2272,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2273,Blisko Centrum idealne na Inwestycję lub jako pierwsze mieszkanie,410 000 złdo negocjacji,Kraków,Brak danych,23 m² - 17826.09 zł/m²,Brak danych,Brak danych
2274,M3 Mieszkanie 2 pokoje Sierakowskiego po remoncie Łódź,359 000 zł,Łódź,Brak danych,"38,30 m² - 9373.37 zł/m²",2 pokoje,Brak danych
2275,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
2276,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2277,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
2278,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
2279,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
2280,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
2281,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
2282,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
2283,PRZESTRONNE Mieszkanie !! IDEALNE dla rodziny M3 ! Rzeszów Drabinianka,536 119 zł,Rzeszów - Odświeżono Dzisiaj O 09:34,Brak danych,"55,27 m² - 9700 zł/m²",Brak danych,Brak danych
2284,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
2285,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
2286,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
2287,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
2288,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
2289,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
2290,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
2291,Piękne nowe mieszkanie w idealnej lokalizacji!,645 000 złdo negocjacji,Białystok,Brak danych,52 m² - 12403.85 zł/m²,Brak danych,Brak danych
2292,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
2293,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
2294,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
2295,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
2296,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
2297,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2298,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2299,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2300,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2301,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2302,⭐Odbierz duży Rabat- 2 pokoje + Hala Garażowa⭐ Umów się na dni Otwarte,618 900 zł,Warszawa - Dzisiaj O 14:14,Brak danych,"41,15 m² - 15040.1 zł/m²",2 pokoje,Brak danych
2303,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
2304,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2305,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2306,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2307,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2308,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2309,Blisko Centrum idealne na Inwestycję lub jako pierwsze mieszkanie,410 000 złdo negocjacji,Kraków,Brak danych,23 m² - 17826.09 zł/m²,Brak danych,Brak danych
2310,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
2311,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
2312,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2313,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
2314,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
2315,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
2316,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
2317,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
2318,PRZESTRONNE Mieszkanie !! IDEALNE dla rodziny M3 ! Rzeszów Drabinianka,536 119 zł,Rzeszów - Odświeżono Dzisiaj O 09:34,Brak danych,"55,27 m² - 9700 zł/m²",Brak danych,Brak danych
2319,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
2320,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
2321,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
2322,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
2323,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
2324,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
2325,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
2326,Piękne nowe mieszkanie w idealnej lokalizacji!,645 000 złdo negocjacji,Białystok,Brak danych,52 m² - 12403.85 zł/m²,Brak danych,Brak danych
2327,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
2328,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
2329,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
2330,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
2331,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
2332,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
2333,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
2334,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
2335,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
2336,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
2337,⭐Odbierz duży Rabat- 2 pokoje + Hala Garażowa⭐ Umów się na dni Otwarte,618 900 zł,Warszawa - Dzisiaj O 14:14,Brak danych,"41,15 m² - 15040.1 zł/m²",2 pokoje,Brak danych
2338,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
2339,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
2340,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
2341,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
2342,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
2343,Blisko Centrum idealne na Inwestycję lub jako pierwsze mieszkanie,410 000 złdo negocjacji,Kraków,Brak danych,23 m² - 17826.09 zł/m²,Brak danych,Brak danych
2344,"Kawalerka 38 m² za odstępne – Łódź Górna, okolice Placu Niepodległości",25 000 złdo negocjacji,Łódź,Brak danych,36 m² - 694.44 zł/m²,1 pokój,Brak danych
2345,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
2346,Wygodne 2 pokoje do własnej aranżacji!,199 000 zł,Sosnowiec - Dzisiaj O 19:26,Brak danych,"32,71 m² - 6083.77 zł/m²",2 pokoje,Brak danych
2347,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
2348,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
2349,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
